"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"pcg_258","Créances rattachées à des sociétés en participation","258","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2611","Actions","2611","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2618","Autres titres","2618","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2621","Obligations","2621","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2622","Bons","2622","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2641","Prêts participatifs","2641","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2642","Prêts aux associés","2642","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2643","Prêts au personnel","2643","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2645","Prêts assortis de sûretés (à subdiviser)","2645","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2648","Autres prêts","2648","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_265","Dépôts et cautionnements versés","265","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2651","Dépôts","2651","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2655","Cautionnements","2655","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2656","Dépôts bancaires non courants","2656","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2658","Autres","2658","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2661","Créances immobilisées","2661","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2667","Créances diverses","2667","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2668","Autres créances non courantes","2668","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_269","Versements restant à effectuer sur titres de participation non libérés<","269","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_271","Frais préliminaires","271","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_272","Charges à répartir","272","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_273","Frais d'émission et primes de remboursement des emprunts","273","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_275","Écarts de conversion","275","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_278","Autres","278","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_281","Amortissements des immobilisations incorporelles (même ventilation que celle du compte 21)","281","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_282","Amortissements des immobilisations corporelles (même ventilation que celle du compte 22)","282","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_284","Amortissements des immobilisations à statut juridique particulier","284","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_291","Provisions pour dépréciation des immobilisations incorporelles (même ventilation que celle du compte 21)","291","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_292","Provisions pour dépréciation des immobilisations corporelles (même ventilation que celle du compte 22)","292","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_293","Provisions pour dépréciation des immobilisations en cours (même ventilation que celle du compte 23)","293","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_294","Provisions pour dépréciation des immobilisations à statut juridique particulier","294","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_295","Provisions pour dépréciation des participations et des créances liées à des participations (même ventilation que celle du compte 25)","295","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_296","Provisions pour dépréciation des autres immobilisations financières (même ventilation que celle du compte 26)","296","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_311","Matières premières","311","account.data_account_type_current_assets","l10n_tn.tn_chart_template","False"
"pcg_313","Fournitures","313","account.data_account_type_current_assets","l10n_tn.tn_chart_template","False"
"pcg_317","Autres","317","account.data_account_type_current_assets","l10n_tn.tn_chart_template","False"
"pcg_321","Matières consommables","321","account.data_account_type_current_assets","l10n_tn.tn_chart_template","False"
"pcg_322","Fournitures consommables","322","account.data_account_type_current_assets","l10n_tn.tn_chart_template","False"
"pcg_326","Emballages","326","account.data_account_type_current_assets","l10n_tn.tn_chart_template","False"
"pcg_327","Autres","327","account.data_account_type_current_assets","l10n_tn.tn_chart_template","False"
"pcg_331","Produits en cours","331","account.data_account_type_current_assets","l10n_tn.tn_chart_template","False"
"pcg_335","Travaux en cours","335","account.data_account_type_current_assets","l10n_tn.tn_chart_template","False"
"pcg_341","Études en cours","341","account.data_account_type_current_assets","l10n_tn.tn_chart_template","False"
"pcg_345","Prestations de services en cours","345","account.data_account_type_current_assets","l10n_tn.tn_chart_template","False"
"pcg_351","Produits intermédiaires","351","account.data_account_type_current_assets","l10n_tn.tn_chart_template","False"
"pcg_355","Produits finis","355","account.data_account_type_current_assets","l10n_tn.tn_chart_template","False"
"pcg_357","Produits résiduels<","357","account.data_account_type_current_assets","l10n_tn.tn_chart_template","False"
"pcg_37","Stocks de marchandises","37","account.data_account_type_current_assets","l10n_tn.tn_chart_template","False"
"pcg_39","Provisions pour dépréciation des stocks (à ventiler selon la nomenclature de cette classe)","39","account.data_account_type_current_assets","l10n_tn.tn_chart_template","False"
"tn_pcg_pay","Fournisseurs - Achats de biens et prestations de services","4011","account.data_account_type_payable","l10n_tn.tn_chart_template","True"
"pcg_4017","Fournisseurs - Retenues de garantie","4017","account.data_account_type_payable","l10n_tn.tn_chart_template","True"
"pcg_403","Fournisseurs d'exploitation - effets à payer","403","account.data_account_type_payable","l10n_tn.tn_chart_template","True"
"pcg_4041","Fournisseurs - Achats d'immobilisations","4041","account.data_account_type_payable","l10n_tn.tn_chart_template","True"
"pcg_4047","Fournisseurs d'immobilisations - Retenues de garantie","4047","account.data_account_type_payable","l10n_tn.tn_chart_template","True"
"pcg_405","Fournisseurs d'immobilisations - Effets à payer","405","account.data_account_type_payable","l10n_tn.tn_chart_template","True"
"pcg_4084","Fournisseurs d'immobilisations ","4084","account.data_account_type_payable","l10n_tn.tn_chart_template","True"
"pcg_4088","Fournisseurs - Intérêts courus","4088","account.data_account_type_payable","l10n_tn.tn_chart_template","True"
"pcg_4091","Fournisseurs - Avances et acomptes versés sur commandes","4091","account.data_account_type_payable","l10n_tn.tn_chart_template","True"
"pcg_4096","Fournisseurs - Créances pour emballages et matériel à rendre","4096","account.data_account_type_payable","l10n_tn.tn_chart_template","True"
"pcg_40971","Fournisseurs d'exploitation","40971","account.data_account_type_payable","l10n_tn.tn_chart_template","True"
"pcg_40974","Fournisseurs d'immobilisation","40974","account.data_account_type_payable","l10n_tn.tn_chart_template","True"
"pcg_4098","Rabais, remises, ristournes à obtenir et autres avoirs non encore reçus","4098","account.data_account_type_payable","l10n_tn.tn_chart_template","True"
"tn_pcg_recv","Clients - Ventes de biens ou de prestations de services","4111","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"tn_pcg_pos","Compte de contrôle des débiteurs","4118","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_4117","Clients - Retenues de garantie","4117","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_413","Clients - Effets à recevoir","413","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_416","Clients douteux ou litigieux","416","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_417","Créances sur travaux non encore facturables","417","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
"pcg_4181","Factures à établir","4181","account.data_account_type_receivable","l10n_tn.tn_chart_template","True"
